Codigo;Empresa;Classes;Codigo_Yahoo;Indice_Bovespa;Tipo_Ativo
FHER3;FER HERINGER;ON   NM;FHER3.SA;Não;Ação
FESA4;FERBASA;PN   N1;FESA4.SA;Não;Ação
AFHI11;FII AFHI CRI;CI;AFHI11.SA;Não;Ação
ARCT11;FII ARCTIUM;CI;ARCT11.SA;Não;Ação
BCFF11;FII BC FFII;CI;BCFF11.SA;Não;Ação
BLMR11;FII BLUE FOF;CI;BLMR11.SA;Não;Ação
BLMG11;FII BLUE LOG;CI;BLMG11.SA;Não;Ação
BTAL11;FII BTG AGRO;CI;BTAL11.SA;Não;Ação
BTRA11;FII BTG TAGR;CI;BTRA11.SA;Não;Ação
CPTS11;FII CAPI SEC;CI;CPTS11.SA;Não;Ação
DEVA11;FII DEVANT;CI;DEVA11.SA;Não;Ação
GALG11;FII GUARDIAN;CI;GALG11.SA;Não;Ação
HSAF11;FII HSI CRI;CI;HSAF11.SA;Não;Ação
HSLG11;FII HSI LOG;CI;HSLG11.SA;Não;Ação
KISU11;FII KILIMA;CI;KISU11.SA;Não;Ação
KNIP11;FII KINEA IP;CI;KNIP11.SA;Não;Ação
KNCR11;FII KINEA RI;CI;KNCR11.SA;Não;Ação
NSLU11;FII LOURDES;CI;NSLU11.SA;Não;Ação
MCHF11;FII MAUA HF;CI;MCHF11.SA;Não;Ação
MXRF11;FII MAXI REN;CI;MXRF11.SA;Não;Ação
NCHB11;FII NCH BR;CI;NCHB11.SA;Não;Ação
PATL11;FII PATR LOG;CI;PATL11.SA;Não;Ação
RZAK11;FII RIZA AKN;CI;RZAK11.SA;Não;Ação
RZTR11;FII RIZA TX;CI;RZTR11.SA;Não;Ação
SNFF11;FII SUNOFOFI;CI;SNFF11.SA;Não;Ação
TGAR11;FII TG ATIVO;CI;TGAR11.SA;Não;Ação
TORD11;FII TORDE EI;CI;TORD11.SA;Não;Ação
TRXF11;FII TRX REAL;CI;TRXF11.SA;Não;Ação
URPR11;FII URCA REN;CI;URPR11.SA;Não;Ação
VGHF11;FII VALOR HE;CI;VGHF11.SA;Não;Ação
VGIR11;FII VALREIII;CI;VGIR11.SA;Não;Ação
PVBI11;FII VBI PRI;CI;PVBI11.SA;Não;Ação
VSLH11;FII VERS CRI;CI;VSLH11.SA;Não;Ação
VIUR11;FII VINCI IU;CI;VIUR11.SA;Não;Ação
FLRY3;FLEURY;ON   NM;FLRY3.SA;Sim;Ação
FRAS3;FRAS-LE;ON   N1;FRAS3.SA;Não;Ação
GFSA3;GAFISA;ON   NM;GFSA3.SA;Não;Ação
GGBR4;GERDAU;PN   N1;GGBR4.SA;Sim;Ação
GOAU4;GERDAU MET;PN   N1;GOAU4.SA;Sim;Ação
GETT11;GETNET BR;UNT;GETT11.SA;Não;Ação
NINJ3;GETNINJAS;ON   NM;NINJ3.SA;Não;Ação
GOLL4;GOL;PN   N2;GOLL4.SA;Sim;Ação
GGPS3;GPS;ON   NM;GGPS3.SA;Não;Ação
GRND3;GRENDENE;ON   NM;GRND3.SA;Não;Ação
GMAT3;GRUPO MATEUS;ON   NM;GMAT3.SA;Não;Ação
NTCO3;GRUPO NATURA;ON   NM;NTCO3.SA;Sim;Ação
SBFG3;GRUPO SBF;ON   NM;SBFG3.SA;Não;Ação
SOMA3;GRUPO SOMA;ON   NM;SOMA3.SA;Sim;Ação
GUAR3;GUARARAPES;ON   NM;GUAR3.SA;Não;Ação
HAPV3;HAPVIDA;ON   NM;HAPV3.SA;Sim;Ação
HBOR3;HELBOR;ON   NM;HBOR3.SA;Não;Ação
HBSA3;HIDROVIAS;ON   NM;HBSA3.SA;Não;Ação
HYPE3;HYPERA;ON   NM;HYPE3.SA;Sim;Ação
IGTI11;IGUATEMI S.A;UNT  N1;IGTI11.SA;Sim;Ação
PARD3;IHPARDINI;ON   NM;PARD3.SA;Não;Ação
MEAL3;IMC S/A;ON   NM;MEAL3.SA;Não;Ação
IFCM3;INFRACOMM;ON   NM;IFCM3.SA;Não;Ação
INTB3;INTELBRAS;ON   NM;INTB3.SA;Não;Ação
MYPK3;IOCHP-MAXION;ON   NM;MYPK3.SA;Não;Ação
RANI3;IRANI;ON   NM;RANI3.SA;Não;Ação
IRBR3;IRBBRASIL RE;ON   NM;IRBR3.SA;Não;Ação
ITSA3;ITAUSA;ON   N1;ITSA3.SA;Não;Ação
ITSA4;ITAUSA;PN   N1;ITSA4.SA;Sim;Ação
