Codigo;Empresa;Classes;Codigo_Yahoo;Indice_Bovespa;Tipo_Ativo
CMCS34;COMCAST;;;;BDR
C1MA34;COMERICA INC;;;;BDR
C1AG34;CONAGRA BRAN;;;;BDR
C1XO34;CONCHO RESOU;;;;BDR
E1DI34;CONSOLIDATED EDISON INC;;;;BDR
STZB34;CONSTELLATIO;;;;BDR
C1OO34;COOPER COMPANIES INC;;;;BDR
C1PR34;COPART INC;;;;BDR
COPH34;COPHILLIPS;;;;BDR
G1LW34;CORNING INC;;;;BDR
C1TV34;CORTEVA INC;;;;BDR
C1GP34;COSTAR GROUP INC;;;;BDR
COWC34;COSTCO;;;;BDR
COTY34;COTY INC;;;;BDR
C1OU34;COUPA SOFTWARE INC;;;;BDR
CRDA34;CREDIT ACCEP;;;;BDR
C1SU34;CREDIT SUISSE GROUP AG;;;;BDR
CRHP34;CRH PLC;;;;BDR
C1CI34;CROWN CASTLE INTERNATIONAL CORP;;;;BDR
CSXC34;CSX CORP;;;;BDR
CRIP34;CTRIPCOM;;;;BDR
C1MI34;CUMMINS INC;;;;BDR
CVSH34;CVS HEALTH;;;;BDR
DHER34;DANAHER CORP;;;;BDR
D1RI34;DARDEN RESTAURANTS INC;;;;BDR
D1DG34;DATADOG INC;;;;BDR
DVAI34;DAVITA INC;;;;BDR
DEEC34;DEERE & CO;;;;BDR
D1EL34;DELL TECHNOL;;;;BDR
DEAI34;DELTA;;;;BDR
XRAY34;DENTSPLY SIR;;;;BDR
DBAG34;DEUTSCHE AK;;;;BDR
D1VN34;DEVON ENERGY;;;;BDR
D1EX34;DEXCOM INC;;;;BDR
DEOP34;DIAGEO PL;;;;BDR
F1AN34;DIAMONDBACK ENERGY INC;;;;BDR
D1LR34;DIGITAL REALTY TRUST INC;;;;BDR
D1FS34;DISCOVER FINANCIAL SERVICES;;;;BDR
DCVY34;DISCOVERY IN;;;;BDR
DCVY35;DISCOVERY INC;;;;BDR
D1IS34;DISH NETWORK;;;;BDR
D1OC34;DOCUSIGN INC;;;;BDR
DGCO34;DOLLAR GENER;;;;BDR
DLTR34;DOLLAR TREE;;;;BDR
D1OM34;DOMINION ENE;;;;BDR
D2PZ34;DOMINO’S PIZZA;;;;BDR
D2AS34;DOOR DASH;;;;BDR
D1OV34;DOVER CORP;;;;BDR
D1OW34;DOW INC;;;;BDR
D1HI34;DR HORTON IN;;;;BDR
R1DY34;DR REDDYS LABORATORIES LTD;;;;BDR
D1TE34;DTE ENERGY CO;;;;BDR
D1RE34;DUKE REALTY CORP;;;;BDR
D1XC34;DXC TECHNOLO;;;;BDR
E1MN34;EASTMAN CHEMICAL CO;;;;BDR
E1TN34;EATON CORP PLC;;;;BDR
EBAY34;EBAY;;;;BDR
E1CL34;ECOLAB INC;;;;BDR
E1CO34;ECOPETROL SA;;;;BDR
E1IX34;EDISON INTER;;;;BDR
E1WL34;EDWARDS LIFESCIENCES CORP;;;;BDR
E2ST34;ELASTIC NV;;;;BDR
EAIN34;ELECTR ARTS;;;;BDR
E1MR34;EMERSON ELECTRIC CO;;;;BDR
E1NI34;ENEL AMERICAS SA;;;;BDR
E1TR34;ENTERGY CORP;;;;BDR
E2PD34;ENTERPRISE PRODUCTS PARTNERS;;;;BDR
E1OG34;EOG RESOURCE;;;;BDR
E1FX34;EQUIFAX INC;;;;BDR
EQIX34;EQUINIX INC;;;;BDR
E1QN34;EQUINOR ASA;;;;BDR
E1QR34;EQUITY RESIDENTIAL;;;;BDR
E1RI34;ERICSSON LM TELEPHONE CO;;;;BDR
E1SS34;ESSEX PROPERTY TRUST INC;;;;BDR
ELCI34;ESTEE LAUDER;;;;BDR
E2TS34;ETSY;;;;BDR
E2EF34;EURONET WORLDWIDE;;;;BDR
E1VE34;EVEREST RE GROUP LTD;;;;BDR
E1VR34;EVERGY INC;;;;BDR
E1SE34;EVERSOURCE ENERGY;;;;BDR
E1XC34monde;EXELON CORP;;;;BDR
EXGR34;EXPEDIA GROU;;;;BDR
E1XP34;EXPEDITORS INTERNATIONAL OF WASHINGTON INC;;;;BDR
E1XR34;EXTRA SPACE STORAGE INC;;;;BDR
EXXO34;EXXON MOBIL;;;;BDR
F1FI34;F5 NETWORKS INC;;;;BDR
FBOK34;FACEBOOK;;;;BDR
FASL34;FASTENAL;;;;BDR
F1SL34;FASTLY INC;;;;BDR
F1RI34;FEDERAL REALTY INVESTMENT TRUST;;;;BDR
F1NI34;FIDELITY NAT;;;;BDR
FFTD34;FIFTH THIRD;;;;BDR
F1RC34;FIRST REPUBLIC BANK;;;;BDR
FSLR34;FIRST SOLAR;;;;BDR
F1EC34;FIRSTENERGY ;;;;BDR
F1IS34;FISERV INC;;;;BDR
F2VR34;FIVERR INTERNATIONAL;;;;BDR
FLTC34;FLEETCOR TEC;;;;BDR
F1LI34;FLIR SYSTEMS INC;;;;BDR
F1LS34;FLOWSERVE CORP;;;;BDR
F1MC34;FMC CORP;;;;BDR
FDMO34;FORD MOTORS;;;;BDR
F1TN34;FORTINET INC;;;;BDR
F1TV34;FORTIVE CORP;;;;BDR
F1BH34;FORTUNE BRANDS HOME & SECURITY INC;;;;BDR
FOXC34;FOX CORP;;;;BDR
F2NV34;FRANCO-NEVADA;;;;BDR
F1RA34;FRANKLIN RESOURCES INC;;;;BDR
FCXO34;FREEPORT;;;;BDR
FMSC34;FRESENIUS;;;;BDR
G1LP34;GALAPAGOS NV;;;;BDR
GPSI34;GAP;;;;BDR
G1RM34;GARMIN LTD;;;;BDR
G1AR34;GARTNER INC;;;;BDR
G1DS34;GDS HOLDINGS LTD;;;;BDR
GEOO34;GE;;;;BDR
G1MI34;GENERAL MILLS INC;;;;BDR
GMCO34;GENERAL MOTORS;;;;BDR
G1PC34;GENUINE PARTS CO;;;;BDR
GPRK34;GEOPARK LTD;;;;BDR
GILD34;GILEAD;;;;BDR
G1SK34;GLAXOSMITHKLINE PLC;;;;BDR
G1PI34;GLOBAL PAYMENTS INC;;;;BDR
G1LL34;GLOBE LIFE INC;;;;BDR
G2DD34;GODADDY;;;;BDR
G1FI34;GOLD FIELDS LTD;;;;BDR
GSGI34;GOLDMANSACHS;;;;BDR
GPRO34;GOPRO;;;;BDR
H1RB34;H&R BLOCK INC;;;;BDR
HALI34;HALLIBURTON;;;;BDR
H1BI34;HANESBRANDS INC;;;;BDR
THGI34;HANOVER INSU;;;;BDR
H1OG34;HARLEY-DAVIDSON INC;;;;BDR
H1IG34;HARTFORD FINANCIAL SERVICES GROUP INC;;;;BDR
H1AS34;HASBRO INC;;;;BDR
H1CA34;HCA HEALTHCA;;;;BDR
H1DB34;HDFC BANK LTD;;;;BDR
P1EA34;HEALTHPEAK PROPERTIES INC;;;;BDR
H1EI34;HEICO CORPORATION;;;;BDR
H1SI34;HENRY SCHEIN INC;;;;BDR
HSHY34;HERSHEY CO;;;;BDR
H1ES34;HESS CORP;;;;BDR
H1PE34;HEWLETT PACK;;;;BDR
H1LT34;HILTON WORLD;;;;BDR
H1FC34;HOLLYFRONTIER CORP;;;;BDR
H1OL34;HOLOGIC INC;;;;BDR
HOME34;HOME DEPOT;;;;BDR
HOND34;HONDA MO;;;;BDR
H1ZN34;HORIZON THERAPEUTICS PLC;;;;BDR
H1RL34;HORMEL FOODS;;;;BDR
H1ST34;HOST HOTELS ;;;;BDR
ARNC34;HOWMET AEROSPACE INC;;;;BDR
H1SB34;HSBC HOLDINGS PLC;;;;BDR
H1TH34;HUAZHU GROUP LTD;;;;BDR
H2UB34;HUBSPOT;;;;BDR
H1UM34;HUMANA INC;;;;BDR
H1BA34;HUNTINGTON B;;;;BDR
H1II34;HUNTINGTON INGALLS INDUSTRIES INC;;;;BDR
I1AC34;IAC INTERACTIVECORPORATION;;;;BDR
I1BN34;ICICI BANK LTD;;;;BDR
I1EX34;IDEX CORPORATION;;;;BDR
I1DX34;IDEXX LABORATORIES INC;;;;BDR
I1NF34;IHS MARKIT LTD;;;;BDR
I1TW34;ILLINOIS TOOL WORKS INC;;;;BDR
I1LM34;ILLUMINA INC;;;;BDR
I1NC34;INCYTE CORP;;;;BDR
I1FO34;INFOSYS LTD;;;;BDR
INGG3;ING GROEP;;;;BDR
I1RP34;INGERSOLL-RAND PLC;;;;BDR
ITLC34;INTEL;;;;BDR
I1CE34;INTERCONTINENTAL EXCHANGE INC;;;;BDR
I1HG34;INTERCONTINENTAL HOTELS GROUP PLC;;;;BDR
I1PC34;INTERNATIONA;;;;BDR
I1FF34;INTERNATIONAL FLAVORS & FRAGRANCES INC;;;;BDR
I1PH34;INTERPUBLIC GROUP OF COS INC;;;;BDR
INTU34;INTUIT INC;;;;BDR
I1SR34;INTUITIVE SURGICAL INC;;;;BDR
I1VZ34;INVESCO LTD;;;;BDR
ISBC34;INVEST BCORP;;;;BDR
I1PG34;IPG PHOTONICS CORP;;;;BDR
I1QY34;IQIYI INC;;;;BDR
I1QV34;IQVIA HOLDINGS INC;;;;BDR
I1RM34;IRON MOUNTAIN INC;;;;BDR
J1KH34;JACK HENRY & ASSOCIATES INC;;;;BDR
J1EG34;JACOBS ENGINEERING GROUP INC;;;;BDR
J1BH34;JB HUNT TRANSPORT SERVICES INC;;;;BDR
JDCO34;JD COM;;;;BDR
J1EF34;JEFFERIES FINANCIAL GROUP INC;;;;BDR
J1CI34;JOHNSON CONT;;;;BDR
JPMC34;JPMORGAN;;;;BDR
J1NP34;JUNIPER NETWORKS INC;;;;BDR
K1CS34;KANSAS CITY SOUTHERN;;;;BDR
K1BF34;KB FINANCIAL GROUP INC;;;;BDR
K1EL34;KELLOGG CO;;;;BDR
KMPR34;KEMPER CORP;;;;BDR
K1EY34;KEYCORP;;;;BDR
K1SG34;KEYSIGHT TECHNOLOGIES INC;;;;BDR
K1IM34;KIMCO REALTY CORP;;;;BDR
KMIC34;KINDER MORGA;;;;BDR
K1LA34;KLA CORP;;;;BDR
K1SS34;KOHLS CORP;;;;BDR
PHGN34;KOPHILIPS;;;;BDR
K1RC34;KROGER CO;;;;BDR
K1TC34;KT CORP;;;;BDR
LBRN34;L BRANDS;;;;BDR
L1HX34;L3HARRIS TECHNOLOGIES INC;;;;BDR
L1CA34;LABORATORY CORP OF AMERICA HOLDINGS;;;;BDR
L1RC34;LAM RESEARCH CORP;;;;BDR
L1WH34;LAMB WESTON HOLDINGS INC;;;;BDR
L1VS34;LAS VEGAS SANDS CORPORATION;;;;BDR
L1EG34;LEGGETT & PLATT INC;;;;BDR
L1DO34;LEIDOS HOLDINGS INC;;;;BDR
L1EN34;LENNAR CORP;;;;BDR
LBRD34;LIBERTY BROA;;;;BDR
L1BT34;LIBERTY GLOB;;;;BDR
L1BT35;LIBERTY GLOBAL PLC;;;;BDR
LSXM34;LIBERTY MEDI;;;;BDR
LSXM35;LIBERTY MEDIA CORPORATION;;;;BDR
LILY34;LILLY;;;;BDR
L1NC34;LINCOLN NATIONAL CORP;;;;BDR
L1IN34;LINDE PLC;;;;BDR
L1YV34;LIVE NATION ENTERTAINMENT INC;;;;BDR
L1KQ34;LKQ CORP;;;;BDR
L1YG34;LLOYDS BANKING GROUP PLC;;;;BDR
L1OE34;LOEWS CORP;;;;BDR
LOWC34;LOWE’S COMPA;;;;BDR
L1UL34;LULULEMON ATHLETICA INC;;;;BDR
L1MN34;LUMEN TECHNOLOGIES INC;;;;BDR
L1YB34;LYONDELLBASELL INDUSTRIES NV;;;;BDR
M1TB34;M&T BANK CORP;;;;BDR
MACY34;MACY S;;;;BDR
M1RO34;MARATHON OIL;;;;BDR
M1PC34;MARATHON PET;;;;BDR
MKLC34;MARKEL CORP;;;;BDR
M1KT34;MARKETAXESS HOLDINGS INC;;;;BDR
M1TT34;MARRIOTT INTERNATIONAL INC;;;;BDR
M1MC34;MARSH & MCLENNAN COS INC;;;;BDR
M1LM34;MARTIN MARIETTA MATERIALS INC;;;;BDR
M1AS34;MASCO CORP;;;;BDR
M1TC34;MATCH GROUP INC;;;;BDR
M1XI34;MAXIM INTEGRATED PRODUCTS INC;;;;BDR
M1KC34;MCCORMICK & CO INC;;;;BDR
MCDC34;MCDONALDS;;;;BDR
M1CK34;MCKESSON CORP;;;;BDR
MDTC34;MEDTRONIC;;;;BDR
M1LC34;MELCO RESORTS & ENTERTAINMENT LTD;;;;BDR
MELI34;MERCADO LIVRE;;;;BDR
MRCK34;MERCK;;;;BDR
M1TD34;METTLER-TOLEDO INTERNATIONAL INC;;;;BDR
M1GM34;MGM RESORTS ;;;;BDR
M1CH34;MICROCHIP TE;;;;BDR
MUTC34;MICRON TECHN;;;;BDR
MSFT34;MICROSOFT;;;;BDR
M1AA34;MID-AMERICA APARTMENT COMMUNITIES INC;;;;BDR
M1UF34;MITSUBISHI UFJ FINANCIAL GROUP INC;;;;BDR
M1BT34;MOBILE TELESYSTEMS PJSC;;;;BDR
M1RN34;MODERNA INC;;;;BDR
M1HK34;MOHAWK INDUSTRIES INC;;;;BDR
M1CB34;MOLSON COORS BREWING CO;;;;BDR
MDLZ34;MONDELEZ INT ;;;;BDR
M1DB34;MONGODB INC;;;;BDR
M1NS34;MONSTER BEVERAGE CORP;;;;BDR
MCOR34;MOODY’S CORP;;;;BDR
MOSC34;MOSAIC CO;;;;BDR
M1SI34;MOTOROLA SOLUTIONS INC;;;;BDR
M1SC34;MSCI INC;;;;BDR
N1DA34;NASDAQ INC;;;;BDR
N1GG34;NATIONAL GRID PLC;;;;BDR
N1OV34;NATIONAL OILWELL VARCO INC;;;;BDR
N1WG34;NATWEST GROUP PLC;;;;BDR
N1TA34;NETAPP INC;;;;BDR
NETE34;NETEASE;;;;BDR
NFLX34;NETFLIX;;;;BDR
N1BI34;NEUROCRINE BIOSCIENCES INC;;;;BDR
E1DU34;NEW ORIENTAL EDU & TECH GROUP INC;;;;BDR
N1WL34;NEWELL BRAND;;;;BDR
N1EM34;NEWMONT GOLD;;;;BDR
N1WS34;NEWS CORP;;;;BDR
N1WS35;NEWS CORPORATION;;;;BDR
NEXT34;NEXTERA ENER;;;;BDR
N1IC34;NICE LTD;;;;BDR
N1LS34;NIELSEN HOLDINGS PLC;;;;BDR
N1IS34;NISOURCE INC;;;;BDR
NOKI34;NOKIA CORP;;;;BDR
NMRH34;NOMURA HO;;;;BDR
J1WN34;NORDSTROM IN;;;;BDR
N1SC34;NORFOLK SOUTHERN CORP;;;;BDR
N1TR34;NORTHERN TRUST CORP;;;;BDR
NOCG34;NORTHROP GRU;;;;BDR
N1CL34;NORWEGIAN CR;;;;BDR
N1VS34;NOVARTIS AG;;;;BDR
N1VO34;NOVO NORDISK A/S;;;;BDR
N1RG34;NRG ENERGY I;;;;BDR
NUBR33;NUBANK;;;;BDR
N1UE34;NUCOR CORP;;;;BDR
NVDC34;NVIDIA CORP;;;;BDR
N1VR34;NVR INC;;;;BDR
N1XP34;NXP SEMICOND;;;;BDR
OXYP34;OCCIDENT PTR;;;;BDR
O1KT34;OKTA INC;;;;BDR
O1DF34;OLD DOMINION FREIGHT LINE INC;;;;BDR
O1MC34;OMNICOM GROUP INC;;;;BDR
O1KE34;ONEOK INC;;;;BDR
ORLY34;O’REILLY AUT;;;;BDR
I1XC34;ORIX CORP;;;;BDR
O1TI34;OTIS WORLDWIDE CORPORATION;;;;BDR
P1AC34;PACCAR INC;;;;BDR
P1KG34;PACKAGING CORP OF AMERICA;;;;BDR
PAGS34;PAGSEGURO;;;;BDR
P2LT34;PALANTIR TECHNOLOGIES;;;;BDR
P1HC34;PARKER-HANNIFIN CORP;;;;BDR
P1AY34;PAYCHEX INC;;;;BDR
P1YC34;PAYCOM SOFTWARE INC;;;;BDR
PYPL34;PAYPAL HOLD;;;;BDR
P1NR34;PENTAIR PLC;;;;BDR
P1BC34;PEOPLES UNITED FINANCIAL INC;;;;BDR
P1KI34;PERKINELMER INC;;;;BDR
P1RG34;PERRIGO CO PLC;;;;BDR
PTCH34;PETROCHIN;;;;BDR
P2IN34;PINTEREST;;;;BDR
PFIZ34;PFIZER;;;;BDR
PGCO34;PG;;;;BDR
PHMO34;PHILIP MORRIS;;;;BDR
P1SX34;PHILLIPS 66;;;;BDR
P1DD34;PINDUODUO INC;;;;BDR
P1NW34;PINNACLE WEST CAPITAL CORP;;;;BDR
P1IO34;PIONEER NATURAL RESOURCES CO;;;;BDR
P2LN34;PLANET FITNESS;;;;BDR
PNCS34;PNCFNANCIAL ;;;;BDR
P1KX34;POSCO;;;;BDR
P1PG34;PPG INDUSTRIES INC;;;;BDR
P1PL34;PPL CORP;;;;BDR
P1FG34;PRINCIPAL FINANCIAL GROUP INC;;;;BDR
P2CO34;PROCORE TECHNOLOGIES;;;;BDR
P1LD34;PROLOGIS INC;;;;BDR
P1DT34;PRUDENTIAL FINANCIAL INC;;;;BDR
P1UK34;PRUDENTIAL PLC;;;;BDR
T1LK34;PT TELEKOMUNIKASI INDONESIA PERSERO TBK;;;;BDR
P1EG34;PUBLIC SERVICE ENTERPRISE GROUP INC;;;;BDR
P1SA34;PUBLIC STORAGE;;;;BDR
P1HM34;PULTEGROUP I;;;;BDR
P1VH34;PVH CORP;;;;BDR
Q1RV34;QORVO INC;;;;BDR
QCOM34;QUALCOMM;;;;BDR
Q1UA34;QUANTA SERVICES INC;;;;BDR
Q1UE34;QUEST DIAGNOSTICS INC;;;;BDR
R1LC34;RALPH LAUREN CORP;;;;BDR
R1JF34;RAYMOND JAMES FINANCIAL INC;;;;BDR
RDSA34;RD SHELL;;;;BDR
R1IN34;REALTY INCOME CORP;;;;BDR
R1EG34;REGENCY CENTERS CORP;;;;BDR
R2DF34;REDFIN CORPORATION;;;;BDR
REGN34;REGENERON PH;;;;BDR
R1FC34;REGIONS FINA;;;;BDR
R1EL34;RELX PLC;;;;BDR
R1SG34;REPUBLIC SERVICES INC;;;;BDR
R1MD34;RESMED INC;;;;BDR
RIOT34;RIO TINTO;;;;BDR
R2HH34;RH;;;;BDR
R1HI34;ROBERT HALF INTERNATIONAL INC;;;;BDR
R2BL34;ROBLOX CORPORATION;;;;BDR
R1OK34;ROCKWELL AUTOMATION INC;;;;BDR
R1KU34;ROKU INC;;;;BDR
R1OL34;ROLLINS INC;;;;BDR
R1OP34;ROPER TECHNOLOGIES INC;;;;BDR
ROST34;ROSS STORES;;;;BDR
R1CL34;ROYAL CARIBBEAN CRUISES LTD;;;;BDR
RDSA35;ROYAL DUTCH SHELL PLC;;;;BDR
R1YA34;RYANAIR HOLDINGS PLC;;;;BDR
SPGI34;S&P GLOBAL ;;;;BDR
SSFO34;SALESFORCE;;;;BDR
BCSA34;SANTANDER;;;;BDR
SAPP34;SAP SE;;;;BDR
S1RP34;SAREPTA THERAPEUTICS INC;;;;BDR
S1BA34;SBA COMMUNICATIONS CORP;;;;BDR
SCHW34;SCHWAB;;;;BDR
S1TX34;SEAGATE TECH;;;;BDR
S1EA34;SEALED AIR CORP;;;;BDR
S1GE34;SEATTLE GENETICS INC;;;;BDR
S1RE34;SEMPRA ENERGY;;;;BDR
N1OW34;SERVICENOW INC;;;;BDR
S1BS34;SIBANYE STILLWATER LTD;;;;BDR
SBNY34;SIGNATURE BK;;;;BDR
SIMN34;SIMON PROP;;;;BDR
SRXM34;SIRIUS XM HD;;;;BDR
S1KM34;SK TELECOM CO LTD;;;;BDR
S1SL34;SKYWORKS SOLUTIONS INC;;;;BDR
S1LG34;SL GREEN REALTY CORP;;;;BDR
S1NN34;SMITH & NEPHEW PLC;;;;BDR
S1NA34;SNAP-ON INC;;;;BDR
S2QS34;SQUARESPACE;;;;BDR
SNEC34;SONY CORP;;;;BDR
S1OU34;SOUTHWEST AIRLINES CO;;;;BDR
S1PL34;SPLUNK INC;;;;BDR
S1PO34;SPOTIFY TECHNOLOGY SA;;;;BDR
S1SN34;SS&C TECHNOLOGIES HOLDINGS INC;;;;BDR
S1WK34;STANLEY BLACK & DECKER INC;;;;BDR
S1TT34;STATE STREET;;;;BDR
S1TE34;STERIS PLC;;;;BDR
SLBC34;STERLING BNC;;;;BDR
STMN34;STMICROEL;;;;BDR
S2TO34;STORE CAPITAL;;;;BDR
S1YK34;STRYKER CORP;;;;BDR
S1MF34;SUMITOMO MITSUI FINANCIAL GROUP INC;;;;BDR
S1IV34;SVB FINANCIAL GROUP;;;;BDR
S1YM34;SYMANTEC COR;;;;BDR
S1YF34;SYNCHRONY FI;;;;BDR
S1NP34;SYNOPSYS INC;;;;BDR
S1YY34;SYSCO CORP;;;;BDR
T1RO34;T ROWE PRICE GROUP INC;;;;BDR
TSMC34;TAIWANSMFAC;;;;BDR
TAKP34;TAKEDAPH;;;;BDR
T1TW34;TAKE-TWO INTERACTIVE SOFTWARE INC;;;;BDR
T1AL34;TAL EDUCATION GROUP;;;;BDR
TPRY34;TAPESTRY INC;;;;BDR
T1EL34;TE CONNECTIVITY LTD;;;;BDR
T1EC34;TECHNIPFMC PLC;;;;BDR
T1FX34;TELEFLEX INC;;;;BDR
TLNC34;TELEFONIC;;;;BDR
T2PX34;TEMPUR SEALY;;;;BDR
T1SS34;TENARIS SA;;;;BDR
TXSA34;TERNIUMSA;;;;BDR
TSLA34;TESLA MOTORS;;;;BDR
T1EV34;TEVA PHARMACEUTICAL INDUSTRIES LTD;;;;BDR
T1XT34;TEXTRON INC;;;;BDR
S1JM34;THE JM SMUCKER CO;;;;BDR
P1GR34;THE PROGRESSIVE CORP;;;;BDR
S1HW34;THE SHERWIN-WILLIAMS CO;;;;BDR
T1SO34;THE SOUTHERN;;;;BDR
TMOS34;THERMFISCHER;;;;BDR
TJXC34;TJX COMPANIE;;;;BDR
T1MU34;T-MOBILE US ;;;;BDR
TMCO34;TOYOTAMO;;;;BDR
T1SC34;TRACTOR SUPPLY CO;;;;BDR
T1DG34;TRANSDIGM GROUP INC;;;;BDR
RIGG34;TRANSOCEAN;;;;BDR
TRVC34;TRAVELERS;;;;BDR
T1RI34;TRIPADVISOR INC;;;;BDR
T1WL34;TWILIO INC;;;;BDR
TWTR34;TWITTER;;;;BDR
TSNF34;TYSON FOODS;;;;BDR
U1BE34;UBER TECH IN;;;;BDR
UBSG34;UBS GROUP;;;;BDR
U1DR34;UDR INC;;;;BDR
P2AT34;UIPATH;;;;BDR
U1LT34;ULTA BEAUTY INC;;;;BDR
U1AI34;UNDER ARMOUR INC;;;;BDR
ULEV34;UNILEVER;;;;BDR
U1NL34;UNILEVER NV;;;;BDR
UPAC34;UNIONPACIFIC;;;;BDR
U1AL34;UNITED AIRLI;;;;BDR
U1RI34;UNITED RENTALS INC;;;;BDR
UNHH34;UNITEDHEALTH;;;;BDR
U1HS34;UNIVERSAL HEALTH SERVICES INC;;;;BDR
U1NM34;UNUM GROUP;;;;BDR
UPSS34;UPS;;;;BDR
U2PW34;UPWORK;;;;BDR
USSX34;US STEEL;;;;BDR
VLOE34;VALERO ENER;;;;BDR
VLYB34;VALLEY NTION;;;;BDR
V1AR34;VARIAN MEDICAL SYSTEMS INC;;;;BDR
V2EE34;VEEVA SYSTEMS;;;;BDR
V1TA34;VENTAS INC;;;;BDR
VRSN34;VERISIGN INC;;;;BDR
V1RS34;VERISK ANALYTICS INC;;;;BDR
VERZ34;VERIZON;;;;BDR
VRTX34;VERTEX PHARM;;;;BDR
VFCO34;VF CORP;;;;BDR
V2ME34;VIMEO;;;;BDR
V1IP34;VIPSHOP HOLDINGS LTD;;;;BDR
V1OD34;VODAFONE GROUP PUBLIC LTD COMPANY;;;;BDR
V1NO34;VORNADO REALTY TRUST;;;;BDR
V1MC34;VULCAN MATERIALS CO;;;;BDR
W1AB34;WABTEC CORP;;;;BDR
WALM34;WAL MART;;;;BDR
WGBA34;WALGREENS;;;;BDR
W1MG34;WARNER MUSIC GROUP CORPORATION;;;;BDR
W1MC34;WASTE MANAG;;;;BDR
WATC34;WATERS CORP;;;;BDR
W1SO34;WATSCO INC;;;;BDR
W2YF34;WAYFAIR;;;;BDR
W1EC34;WEC ENERGY GROUP INC;;;;BDR
W1BO34;WEIBO CORP;;;;BDR
WFCO34;WELLS FARGO;;;;BDR
W1EL34;WELLTOWER INC;;;;BDR
W2ST34;WEST PHARMACEUTICAL SERVICES;;;;BDR
WABC34;WESTERN BCOR;;;;BDR
W1DC34;WESTERN DIG;;;;BDR
WUNI34;WESTERNUNION;;;;BDR
W1BK34;WESTPAC BANKING CORP;;;;BDR
W1RK34;WESTROCK CO;;;;BDR
W1YC34;WEYERHAEUSER CO;;;;BDR
W1HR34;WHIRLPOOL CORP;;;;BDR
W1MB34;WILLIAMS COS;;;;BDR
W1LT34;WILLIS TOWERS WATSON PLC;;;;BDR
W1IX34;WIX.COM LTD;;;;BDR
W1DA34;WORKDAY INC;;;;BDR
W1PP34;WPP PLC;;;;BDR
W1RB34;WR BERKLEY CORPORATION;;;;BDR
G1WW34;WW GRAINGER INC;;;;BDR
W1YN34;WYNN RESORTS;;;;BDR
X1EL34;XCEL ENERGY;;;;BDR
X1LN34;XILINX INC;;;;BDR
X1YL34;XYLEM INC;;;;BDR
YUMR34;YUM BRANDS;;;;BDR
Z1BR34;ZEBRA TECHNOLOGIES CORPORATION;;;;BDR
Z2EN34;ZENDESK;;;;BDR
Z2LL34;ZILLOW GROUP;;;;BDR
Z1BH34;ZIMMER BIOMET HOLDINGS INC;;;;BDR
Z1IO34;ZIONSBANCORP;;;;BDR
Z1TS34;ZOETIS INC;;;;BDR
Z1OM34;ZOOM VIDEO COMMUNICATIONS INC;;;;BDR
Z1TO34;ZTO EXPRESS CAYMAN INC;;;;BDR
ACNB34;ACCENTURE;;;;BDR
AIGB34;AIG GROUP;;;;BDR
AXPB34;AMERICAN EXP;;;;BDR
ATTB34;ATT INC;;;;BDR
BERK34;BERKSHIRE;;;;BDR
BONY34;BNY MELLON;;;;BDR
BOEI34;BOEING;;;;BDR
BMYB34;BRISTOLMYERS;;;;BDR
DUKB34;DUKE ENERGY;;;;BDR
DDNB34;DUPONT N INC;;;;BDR
FDXB34;FEDEX CORP;;;;BDR
FMXB34;FEMSA;;;;BDR
GDBR34;GEN DYNAMICS;;;;BDR
HONB34;HONEYWELL;;;;BDR
HPQB34;HP COMPANY;;;;BDR
IBMB34;IBM;;;;BDR
JNJB34;JOHNSON & JOHNSON;;;;BDR
KMBB34;KIMBERLY CL;;;;BDR
KHCB34;KRAFT HEINZ;;;;BDR
LMTB34;LOCKHEED;;;;BDR
METB34;METLIFE INC;;;;BDR
MSBR34;MORGAN STAN;;;;BDR
PEPB34;PEPSICO INC;;;;BDR
SBUB34;STARBUCKS;;;;BDR
TGTB34;TARGET CORP;;;;BDR
TEXA34;TEXAS INC;;;;BDR
VISA34;VISA INC;;;;BDR
DISB34;WALT DISNEY;;;;BDR
XRXB34;XEROX CORP;;;;BDR
AMZO34;AMAZON;;;;BDR
CATP34;CATERPILLAR;;;;BDR
CHVX34;CHEVRON;;;;BDR
COCA34;COCA COLA;;;;BDR
COLG34;COLGATE;;;;BDR
MSCD34;MASTERCARD;;;;BDR
NIKE34;NIKE;;;;BDR
ORCL34;ORACLE;;;;BDR
RYTT34;RAYTHEON TECH;;;;BDR
SLBG34;SCHLUMBERGER;;;;BDR
TIFF34;TIFFANY;;;;BDR
USBC34;US BANCORP ;;;;BDR
XPBR31;XP INC;;;;BDR
BTCUSDT;Bitcoin;;;;Cripto
ETHUSDT;Ethereum;;;;Cripto
BNBBUSD;BNB;;;;Cripto
USDCUSDT;USD Coin;;;;Cripto
XRPUSDT;XRP;;;;Cripto
ADATUSD;Cardano;;;;Cripto
DOGEUSDT;Dogecoin;;;;Cripto
LTCUSDT;Litecoin;;;;Cripto
SOLUSDT;Solana;;;;Cripto
TRXUSDT;TRON;;;;Cripto
DOTUSDT;Polkadot;;;;Cripto
MATICUSDT;Polygon;;;;Cripto
BCHUSDT;Bitcoin Cash;;;;Cripto
