Codigo;Empresa;Classes;Codigo_Yahoo
VBBR3;VIBRA;ON   NM;VBBR3.SA
VISA34;VISA INC;DRN;VISA34.SA
VITT3;VITTIA;ON   NM;VITT3.SA
VIVA3;VIVARA S.A.;ON   NM;VIVA3.SA
VVEO3;VIVEO;ON   NM;VVEO3.SA
VULC3;VULCABRAS;ON   NM;VULC3.SA
WALM34;WAL MART;DRN;WALM34.SA
DISB34;WALT DISNEY;DRN;DISB34.SA
LVTC3;WDC NETWORKS;ON   NM;LVTC3.SA
WEGE3;WEG;ON   NM;WEGE3.SA
WFCO34;WELLS FARGO;DRN;WFCO34.SA
WEST3;WESTWING;ON   NM;WEST3.SA
PORT3;WILSON SONS;ON   NM;PORT3.SA
WIZS3;WIZ S.A.;ON   NM;WIZS3.SA
YDUQ3;YDUQS PART;ON   NM;YDUQ3.SA
ZAMP3;ZAMP S.A.;ON   NM;ZAMP3.SA
Z1OM34;ZOOM VIDEO;DRN;Z1OM34.SA
LLIS3;;;LLIS3.SA
